,sentences,sentiments
,for years the online retailer aimed to make alexa the voice assistant that powers gadgets it sells ubiquitous and present to place any shopping order even though it was unclear how widely users have embraced it for more complex tasks than checking the news or weather,positive
,a project inspired by a talking computer in science fiction show star trek alexa had garnered headcount that grew to people by ,positive
,at the time amazon touted sales of more than million alexa devices a figure it has not since refreshed publicly founder jeff bezos later said the company often sold alexa devices at a discount and sometimes below cost,positive
,following the layoff news shares pared losses and were down about on wednesday afternoon,negative
,for amazon the cuts sharply contrast with efforts months ago to double its base pay ceiling to compete more aggressively for talent,positive
,in september last year it had marketed corporate roles globally during a career fair an increase dwarfed only by hiring in amazons fulfillment centers in short order the online bookseller that bezos envisioned on a road trip not years before had become americas second largest private employer with more than million workers including warehouse staff,positive
,the turn has been abrupt the retailer is now responding to sales that could rise as little as this holiday season compared with a increase two years ago amazons chief financial officer told reporters last month that consumers had tighter budgets in the face of inflation and higher fuel costs,negative
,its cloud computing division a profit engine for the company likewise has increased revenue more slowly quarter after quarter in the past year when adjusted for foreign exchange,positive
,andy jassy who ascended to the role of ceo in has focused on cutting costs and stemming amazons share price drop this year to date,positive
,under his tenure amazon announced the end of its virtual healthcare service for employers and pruning of its much hyped autonomous sidewalk delivery program it froze incremental corporate hiring as well,negative
,in the latest fallout from ftxs rapid collapse last week the lending arm of the crypto investment bank genesis global trading is pausing new loan originations and redemptions the company announced in a thread of tweets wednesday,negative
,the lending arm of the bank serves an institutional client base and is known as genesis global capital at the end of its third quarter it had more than billion in total active loans according to the companys website,positive
,our priority is to serve our clients and preserve their assets,positive
,at around noon eastern time reports surfaced that gemini services were offline the company said it experienced an amazon web services outage on one of its primary databases and that it was working to bring the exchange back up,negative
,our spot and derivatives trading and custody businesses remain fully operational a genesis spokesperson told cnbc with regards to lending our number one priority is to serve our clients and preserve their assets therefore we have taken the difficult decision to temporarily suspend redemptions and new loan originations in the lending business we are working diligently to shore up the necessary liquidity to meet our lending client obligations,negative
,its been a bad year for tech but top investor paul meeks is betting on these bright spots,negative
,leon cooperman calls alphabet an ideal holding that is very cheap,positive
,big tech is set for a comeback asset manager says naming stocks to get ahead of it,positive
,the decision reflects a sign of contagion outside of blockfi which is reportedly preparing for a potential bankruptcy filing according to the wall street journal the cryptocurrency lender had already halted withdrawals of customer deposits and admitted that it has significant exposure to the now bankrupt crypto exchange ftx and its sister trading house alameda research,negative
,a representative from blockfi did not immediately respond to requests for comment,negative
,in a matter of days ftx went from a billion valuation to bankruptcy as liquidity dried up customers demanded withdrawals and rival exchange binance ripped up its nonbinding agreement to buy the company ftx founder bankman fried admitted last week that he f ed up,negative
,ftx may have more than million creditors according to an updated bankruptcy filing tuesday hinting at the huge impact of its collapse on crypto traders,negative
,netflix inc reversed customer losses and provided a slightly more bullish outlook than wall street expected projecting a new ad supported streaming option would help attract million subscribers by years end,positive
,shares of netflix jumped per cent in after hours trading on tuesday to the companys stock an investor favorite during its years of rapid growth had fallen nearly this year before the earnings report,positive
,from july through september netflix attracted million new subscribers worldwide more than double the million consensus forecast of analysts polled by refinitiv,positive
,the streaming giant is working to kick start membership growth after a sudden decline in the first half of the year when the companys subscriber base shrunk by million amid a rocky global economy and growing competition for online video viewers netflix now has a total of million subscribers around the world,positive
,most established services have stopped growing in the united states where the market has reached maturity newer entrants such as paramount globals paramont are picking up market share thanks to live sports programming,positive
,in its quarterly letter to shareholders netflix noted that rival media companies are losing money as they try to attract streaming viewers,positive
,our competitors are investing heavily to drive subscribers and engagement but building a large successful streaming business is hard the letter said,negative
,netflix estimated that competitors would end with combined operating losses of well over billion compared with netflixs annual operating profit of billion to billion,positive
,for the third quarter netflix topped wall street projections with revenue of billion up per cent from a year earlier earnings were per share,positive
,the companys forecast of million customer pickups by the end of came in slightly ahead of wall street estimates which had averaged million for the fourth quarter netflix is projecting revenue of billion a sequential decline it blamed on the strong value of the us dollar,positive
,netflix is launching a per month streaming plan with advertising in early november to attract cost conscious customers a move executives had long resisted walt disney co warner bros discovery and other companies also offer or plan to offer ad supported options in the battle for audiences,positive
,while netflix is making various changes to propel growth the company said it remained committed to releasing all episodes at once to allow binge watching,positive
,we believe the ability for our members to immerse themselves in a story from start to finish increases their enjoyment but also their likelihood to tell their friends which then means more people watch join and stay with netflix the company said,positive
,another year another netflix price increase,negative
,at least thats how it might feel for canadians after the global streaming platform announced last week its inching up the cost of its most popular subscription packages once again by a dollar or two per month,negative
,on friday netflix said the price for its standard plan which includes high definition video and two simultaneous streams will rise to per month while the premium package with ultra hd access and four streams is going up to ,negative
,canadians will now have to pay more for standard premium netflix plans ,negative
,the basic plan with standard definition video remains unchanged at ,positive
,while netflix isnt the only streaming giant to hike prices its done so the most frequently which leads london ont based analyst carmi levy to wonder if the company is testing how much more it can charge,negative
,other streaming companies have jacked up prices amid the pandemic too,negative
,levy suggests no matter which platform boosts its price the move itself is bound to make even longtime subscribers reflect on their bills,negative
,consumers are going to be looking at their streaming budgets and asking themselves why theyve committed to more than one service on an ongoing basis and theyre going to start to pull back he said,negative
,amazon plans to lay off as many as employees across the company in the coming months including distribution center workers technology staff and corporate executives about twice as many as previously reported as the retail and cloud computing giant retrenches after going on a hiring spree during the pandemic,negative
,amazon employees are ranked from level to level and staff at all levels will likely be affected according to sources with direct knowledge of the matter who requested anonymity the new york times first reported in mid november that amazon would enact mass layoffs citing sources that said that as many as people would be laid off,negative
,company managers over the last few days however have been told that they should try to identify work performance problems among employees as part of an effort to lay off about people according to sources twenty thousand employees are the equivalent of about of corporate staff and about of amazons total million strong workforce including global distribution center and hourly workers,negative
,corporate staff have been told that employees will receive a hour notice and severance pay in accordance with their company contracts there is a sense of fear among employees in the company as the news has come out said one source who was told directly about the layoff effort the layoffs would be the largest staff reduction in the companys history,negative
,there is no specific department or location mentioned for the cuts it is across the business we were told this is as a result of over hiring during the pandemic and the need for cost cutting as the companys financials have been on a declining trend said the source ,negative
,in the wake of the new york times story amazon ceo andy jassy on november in a public message to employees confirmed that layoffs were occurring though he did not specify the planned number of employees to be laid off,negative
,jassy elaborated on the layoffs this wednesday during an interview at the new york times dealbook conference saying we just felt like we needed to streamline our costs ,positive
,amazons retail business grew quickly during the early days of the pandemic which forced us to make decisions at that time to spend a lot more money and to go much faster in building infrastructure than we ever imagined we would jassy said at the conference,positive
,we knew we might be overbuilding jassy said ,negative
,at amazon even its most profitable business and cloud services division amazon web services aws has been showing signs of slowing growth since the beginning of this fiscal year reporting revenue growth of year on year for the quarter ended september compared to and year on year growth for the prior two quarters respectively,positive
,during its third quarter earnings call with analysts attributed the decline in growth to macroeconomic conditions that were forcing amazon customers to cut down on expenditures to save money in the short run,negative
